题号,名称,完成日期,难度,思路,,,题量全球排名,竞赛全国排名,竞赛全球排名
109,有序链表转换二叉搜索树,2020/7/21,中等,递归或中序遍历,"个人解法：转换成list，再用108题的思路
官方解法本质是： 1.计算链表的长度len 。 2.根据链表长度len用递归法创建总节点数为len的完全二叉树空间。 3.用中序遍历填入对应的数据。 第二步和第三步是同时进行的",,,,
111,二叉树的最小深度,2020/7/23,简单,递归,,,,,
112,路径总和,2020/7/25,简单,递归,,,36676,,
113,路径总和 II,2020/7/27,中等,递归,"个人解法：先构造一个相同的树，每个节点增加父节点的指针和从根节点到本节点的val之和，在构造的过程中把满足要求的path放入res中
其他解法：栈+BFS，所用空间较少",,,,
114,二叉树展开为链表,2020/8/1,中等,递归,"个人解法：
官方解法：找到左子树的最右边的节点，将右子树挂在它的右节点上",,,,
117,填充每个节点的下一个右侧节点指针 II,2020/8/3,中等,BFS,与116题类似,,,,
124,二叉树中的最大路径和,2020/8/8,困难,DFS递归,递归过程中计算以每个节点为根节点的子树中，以根节点为起点的最大路径，并计算此子树中不经过根节点的最大路径,,,,
129,求根到叶子节点数字之和,2020/8/9,中等,DFS递归,,,,,
145,二叉树的后序遍历,2020/8/9,困难,栈,"个人解法：正序栈，但性能略差，因为进出栈次数多
官方解法：反序遍历，类似中序遍历，再把结果反过来",,,,
131,分割回文串,2020/8/15,中等,递归,"个人解法：用一个全局变量保存字符串与可分的回文字串集合的映射关系，如：
d['aab'] = [[['a'],['a'],['b']], [['aa'],['b']]]",,,,
132,分割回文串 II,2020/8/22,困难,递归或动态规划,"个人解法：类似于131，能通过，但性能较差，虽然s[i:j]是否是回文的判断与官方解法次数差不多，但每次判断彼此独立，增加了复杂度
官方解法：
递推是否是回文的判断
if s[i] == s[j] and (j - i < 2 or dp[i + 1][j - 1]):
     dp[i][j] = True
min_cut[j]=min(min_cut[j],min_cut[i?1]+1)",,,,
150,逆波兰表达式求值,2020/8/23,中等,栈,,,,,
173,二叉搜索树迭代器,2020/8/29,中等,中序遍历,,,,,
164,最大间距,2020/8/30,困难,桶 + 抽屉原理,"官方解法：等间距的N-1个桶，把N个数字放入N-1个桶中，同时计算每个桶中元素的最大最小值，最大的间距会出现在桶之间
实际操作时可以设置N个桶，其中最后一个桶只放最大元素",,,,
179,最大数,2020/9/5,中等,排序,"x,y的比较转为x+y与y+x的比较","map函数可把一个list转成另一个
sorted中的参数key可定义为另一个类，在此类中实现__lt__",,,
199,二叉树的右视图,2020/9/6,中等,BFS,,,,,
222,完全二叉树的节点个数,2020/9/8,中等,DFS or 二分法,统计最底层的节点个数，可以用二分法更快,,,,
226,翻转二叉树,2020/9/12,简单,DFS,,,,,
235,二叉搜索树的最近公共祖先,2020/9/13,简单,,利用二叉搜索树的特性,,,,
236,二叉树的最近公共祖先,2020/9/13,中等,DFS,"个人解法：查找到p和q所在位置，并记录他们的父节点序列，在父节点序列中找到最后一个公共节点
官方解法：构造map保存所有节点的父节点，根据map[p]和map[q]依次向上查找，直到找到第一个相同节点",,,,
297,二叉树的序列化与反序列化,2020/9/19,困难,DFS + 先序遍历 + 栈,"个人解法使用迭代
官方解法使用递归",,,,
313,超级丑数,,中等,动态规划,与264类似,,,,
263,丑数,2020/9/25,简单,常规方法,,,,,
264,丑数II,2020/9/24,中等,动态规划,为每个素数在生成出来的丑数序列中设置一个指针，下个丑数就从每个素数*相应指针指向的丑数中取个最小的，并移动对应素数的指针到下一个位置,,,,
331,验证二叉树的前序序列化,2020/10/1,中等,栈 or 计数器,"个人解法：类似先序遍历入栈出栈，发现出栈错误时就可以终止
官方解法：不需要使用栈，只需要一个计数器，每遇到一个节点就减1，当此节点时一个数字就加2",,,,
449,序列化和反序列化二叉搜索树,2020/10/3,中等,先序遍历 or 后序遍历,"个人解法：使用栈
官方解法：使用递归","map函数产生一个新list
def serialize(self, root):
        def postorder(root):
            return postorder(root.left) + postorder(root.right) + [root.val] if root else []
        return ' '.join(map(str, postorder(root)))",,,
450,删除二叉搜索树中的节点,2020/10/4,中等,二叉搜索树,普通解法，利用搜索树的特性和树的节点操作,,,,
501,二叉搜索树中的众数,2020/10/5,简单,中序遍历,,,,,
508,出现次数最多的子树元素和,2020/10/6,中等,递归,,,,,
530,二叉搜索树的最小绝对差,2020/10/8,简单,递归或中序遍历,,,"38,260",,
538,把二叉搜索树转换为累加树,2020/10/11,中等,反序中序遍历,,,,,
543,二叉树的直径,2020/10/18,简单,DFS,,,,,
563,二叉树的坡度,2020/10/16,简单,递归,,,,,
427,建立四叉树,2020/10/24,中等,递归,,,,,
572,另一个树的子树,2020/10/25,简单,递归,,,,,
337,打家劫舍 III,2020/10/29,中等,DP + 递归,个人解法和官方解法本质相同,,,,
404,左叶子之和,2020/11/1,简单,DFS,,,,,
429,N叉树的层序遍历,2020/11/7,中等,BFS,,,,,
437,路径总和 III,2020/11/8,中等,递归,"个人解法：单递归
其他解法：双递归",,,,
559,N叉树的最大深度,2020/11/12,简单,递归,,,,,
589,N叉树的前序遍历,2020/11/13,简单,迭代 + 双向链表,,,,,
590,N叉树的后序遍历,2020/11/14,简单,迭代 + 栈,,,,,
606,根据二叉树创建字符串,2020/11/20,简单,递归 + 前序遍历,,,,,
617,合并二叉树,2020/11/21,简单,DFS,,,,,
623,在二叉树中增加一行,2020/11/22,中等,DFS,,,,,
637,二叉树的层平均值,2020/11/24,简单,BFS,,,,,
655,输出二叉树,2020/11/28,中等,DFS,,,,,
662,二叉树最大宽度,2020/11/29,中等,BFS,,,,,
669,修剪二叉搜索树,2020/12/2,简单,循环 or 递归,"个人解法：先找到一个根节点，使得此节点的val介于low和high之间，再在以它为根的子树中，裁去不在区间内的节点，代码有些长
官方解法：递归，代码简介",,,,
671,二叉树中第二小的节点,2020/12/10,简单,递归,,,,,
685,冗余连接 II,2020/12/12,困难,并查集,有几种情况：1、存在一个有向圈，2、存在一个入度为2的节点，3、同时存在1和2,,,,
687,最长同值路径,2020/12/13,中等,递归,,,,,
56,合并区间,2020/12/15,中等,排序,"intervals.sort(key=lambda x: x[0])
newInterval = sorted(intervals, key=lambda x: x[0])",,,,
57,插入区间,2020/12/17,困难,二分法,使用二分法查找新区间上下限的位置,,,,
75,颜色分类,2020/12/18,中等,partition 排序,设计好循环不变量,,,,
147,对链表进行插入排序,2020/12/20,中等,插入排序,,,,,
148,排序链表,2020/12/23,中等,归并排序,"个人解法：自顶向下
官方解法：自底向上，空间复杂度降至O(1)",,,,
220,存在重复元素 III,2020/12/24,中等,桶排序,"个人解法：二分查找，类似于二叉搜索树
官方解法：桶排序",from bintrees import avltree,,,
242,有效的字母异位词,2021/1/3,简单,哈希,利用哈希表计数，类似于桶排序,,,,
274,H 指数,2021/1/4,中等,排序,,,,,
275,H 指数 II,2021/1/5,中等,二分法,就是要找：citations是单调增的，与y = N - x这个函数（单调减的）的最左边的焦点,,,,
315,计算右侧小于当前元素的个数,2021/1/7,困难,插入排序 or 归并排序,"个人解法：插入排序
其他解法：索引数组 + 归并排序
树状数组",,,,
324,摆动排序 II,2021/1/13,中等,查找中位数,"个人解法：找到中位数后，把数列分成两组，分别在两组中选数字
其他解法：找中位数的方法可以在O(N)内完成，3-way-partition",快速选择法找中位数：在一次递归调用中，首先进行partition过程，即利用一个元素将原数组划分为两个子数组，然后将这一元素放在两个数组之间。两者区别在于快速排序接下来需要对左右两个子数组进行递归，而快速选择只需要对一侧子数组进行递归，所以快速选择的时间复杂度为O(n)。,,,
349,两个数组的交集,2021/1/15,简单,哈希表,将list转成具有Hash表性质的数据结构，再取两者的交集,,,,
350,两个数组的交集 II,2021/1/16,简单,哈希表,,,,,
